iter	Passed	Remaining
0	0	22
1	0	19
2	0	19
3	0	17
4	0	17
5	1	17
6	1	17
7	1	17
8	1	17
9	1	17
10	2	16
11	2	16
12	2	16
13	2	16
14	2	15
15	3	15
16	3	15
17	3	15
18	3	15
19	3	15
20	3	14
21	4	14
22	4	14
23	4	14
24	4	14
25	5	14
26	5	14
27	5	14
28	5	13
29	5	13
30	5	13
31	6	13
32	6	12
33	6	12
34	6	12
35	6	12
36	7	11
37	7	11
38	7	11
39	7	11
40	7	11
41	7	10
42	7	10
43	8	10
44	8	10
45	8	9
46	8	9
47	8	9
48	8	9
49	9	9
50	9	8
51	9	8
52	9	8
53	9	8
54	9	8
55	9	7
56	10	7
57	10	7
58	10	7
59	10	7
60	10	6
61	10	6
62	11	6
63	11	6
64	11	6
65	11	6
66	11	5
67	12	5
68	12	5
69	12	5
70	12	5
71	12	4
72	12	4
73	13	4
74	13	4
75	13	4
76	13	4
77	13	3
78	13	3
79	14	3
80	14	3
81	14	3
82	14	2
83	14	2
84	14	2
85	15	2
86	15	2
87	15	2
88	15	1
89	15	1
90	15	1
91	16	1
92	16	1
93	16	1
94	16	0
95	16	0
96	16	0
97	17	0
98	17	0
99	17	0
